size,binsearch0,binsearch1
0.001,0.114232,0.113985
0.004,0.228918,0.243694
0.016,0.259859,0.286859
0.063,0.321894,0.37068
0.25,0.311648,0.376544
1,0.356149,0.42141
4,0.452586,0.533063
16,0.497173,0.615423
64,0.525019,0.657558
256,0.59904,0.748659
1024,0.638191,0.800562
4096,0.695068,0.866592
16384,0.730666,0.951344
65536,0.793828,1.033028
262144,0.960758,1.144923
1048576,1.147447,1.279552
4194304,1.423619,1.468257
16777216,1.982142,1.75122
67108864,2.61412,2.079121
268435456,3.128763,2.422869
1073741824,3.642355,2.82378
4294967296,5.247399,3.391687
17179869184,8.981602,4.863113
68719476736,12.327317,6.644454
274877906944,16.264987,8.421898
1099511627776,19.243876,10.378126
