size,before,after
0.0009765625,0.113985,0.111428
0.00390625,0.243694,0.22589
0.015625,0.286859,0.284987
0.0625,0.37068,0.381376
0.25,0.376544,0.370616
1,0.42141,0.455802
4,0.533063,0.566054
16,0.615423,0.638824
64,0.657558,0.695976
256,0.748659,0.789647
1024,0.800562,0.871682
4096,0.866592,0.930067
16384,0.951344,1.024451
65536,1.033028,1.120852
262144,1.144923,1.202477
1048576,1.279552,1.300424
4194304,1.468257,1.437091
16777216,1.75122,1.631726
67108864,2.079121,1.81225
268435456,2.422869,2.003473
1073741824,2.82378,2.23993
4294967296,3.391687,2.829975
17179869184,4.863113,3.709715
68719476736,6.644454,4.895554
274877906944,8.421898,6.232857
1099511627776,10.378126,7.361073
